stato0,stato1,profit1,profit2,profit3,price_chosen
8.0,5.0,-1947000.0,-1181742.0,300000.0,86.80751886403931
1.0,7.0,35450.0,-1076485.0,-412645.46335068974,573.7886178346938
1.0,0.0,361620.0,-214151.0,299999.9999999999,378.9995782104062
1.0,9.0,-250450.0,-2247362.0,-52306.21135050198,573.7886178346938
2.0,0.0,16378.0,128483.0,-21321.625987428706,573.7886178346938
0.0,7.0,245888.0,-2243808.0,300000.0,86.80751886403931
9.0,7.0,-3753195.0,-1629910.0,-1926424.167144283,817.3363315507647
9.0,5.0,-3084004.0,-865602.0,-2065371.343507913,817.3363315507647
8.0,7.0,-2319880.0,-2338230.0,299999.9999999999,378.9995782104062
9.0,7.0,-3077616.0,-2251350.0,-98209.30077727768,573.7886178346938
5.0,8.0,-1033940.0,-2263316.0,-1242294.7038253257,705.5328013839551
3.0,9.0,-861166.0,-3854444.0,225779.11687510298,429.0224458086538
1.0,9.0,10476.0,-3420898.0,-20747.83736959379,573.7886178346938
6.0,6.0,-2129438.0,-2545053.0,-164194.99182826746,573.7886178346938
2.0,8.0,443256.0,-2857803.0,-549475.9955903512,632.0505919571066
7.0,0.0,-2417188.0,327360.0,299999.9999999999,378.9995782104062
8.0,2.0,-3598700.0,552774.0,-1899452.0682031077,817.3363315507647
1.0,8.0,232370.0,-1221809.0,300000.0,86.80751886403931
1.0,1.0,-354856.0,-242804.0,210037.4595016155,523.0380261533994
8.0,3.0,-2101533.0,-1283781.0,300000.0,475.74734490803644
9.0,8.0,-3908971.0,-1592808.0,-1075083.4298973284,705.5328013839551
7.0,5.0,-1740230.0,-1576324.0,300000.0,86.80751886403931
8.0,6.0,-1655640.0,-1770605.0,-100504.4552486164,573.7886178346938
0.0,0.0,373182.0,146280.0,300000.0,86.80751886403931
2.0,3.0,-558410.0,-1407700.0,300000.0,475.74734490803644
7.0,8.0,-1269688.0,-1909793.0,300000.0,317.5037515805274
9.0,1.0,-2553999.0,-68979.0,268617.7184307962,523.0380261533994
9.0,8.0,-2618675.0,-1348519.0,-1159747.366063403,705.5328013839551
6.0,9.0,-2464747.0,-3303689.0,-38535.28452246939,573.7886178346938
1.0,3.0,2335.0,-770581.0,300000.0,86.80751886403931
8.0,0.0,-2266161.0,280522.0,300000.0,475.74734490803644
7.0,1.0,-1942358.0,487508.0,300000.0,317.5037515805274
8.0,0.0,-1593993.0,365715.0,300000.0,475.74734490803644
8.0,6.0,-1495633.0,-1309640.0,-109685.07313397154,573.7886178346938
0.0,7.0,496080.0,-1797556.0,300000.0,86.80751886403931
4.0,8.0,-258670.0,-2066226.0,-558956.7544697078,632.0505919571066
1.0,0.0,330868.0,-71517.0,-1075083.4298973284,705.5328013839551
9.0,7.0,-3455060.0,-1272606.0,-146407.54467539187,573.7886178346938
7.0,3.0,-1634068.0,-238260.0,300000.0,475.74734490803644
2.0,8.0,-731652.0,-2750043.0,300000.0,475.74734490803644
8.0,0.0,-1886745.0,417248.0,-25911.93493010616,573.7886178346938
4.0,8.0,-258364.0,-2917934.0,300000.0,86.80751886403931
0.0,2.0,-355195.0,-432240.0,-37961.49590463471,573.7886178346938
8.0,6.0,-3470830.0,-1884755.0,-47142.113789989846,573.7886178346938
1.0,2.0,-184686.0,-290434.0,-1125881.7915969733,705.5328013839551
1.0,9.0,-320698.0,-2120196.0,280693.9899386107,429.0224458086538
8.0,0.0,-1659585.0,369284.0,300000.0,429.0224458086538
8.0,5.0,-3034428.0,-1011367.0,300000.0,86.80751886403931
9.0,4.0,-2320194.0,-808815.0,-1148458.8412412598,705.5328013839551
7.0,6.0,-2755610.0,-1646256.0,300000.0,86.80751886403931
7.0,0.0,-1282830.0,409500.0,300000.0,475.74734490803644
4.0,9.0,-1007046.0,-2451656.0,182316.4441154853,523.0380261533994
